,Board State,Score,Best Move,Depth
2761,"((-1, 0, 1), (1, 0, 0), (0, 0, 0))",0,"(1, 1)",3
2617,"((0, 1, 0), (1, 0, 0), (0, 0, -1))",-2,"(0, 2)",3
2619,"((0, 1, 0), (0, 0, 1), (0, 0, -1))",-2,"(2, 0)",3
2620,"((0, 1, 0), (0, 0, 0), (1, 0, -1))",0,"(0, 2)",3
2621,"((0, 1, 0), (0, 0, 0), (0, 1, -1))",-2,"(1, 1)",3
1331,"((1, 0, 1), (0, 0, -1), (0, 0, 0))",2,"(0, 1)",3
2577,"((0, 1, 0), (1, 0, 0), (-1, 0, 0))",-2,"(2, 2)",3
1268,"((1, 0, 0), (0, -1, 0), (0, 0, 1))",0,"(0, 1)",3
1264,"((1, 0, 0), (0, -1, 0), (0, 1, 0))",0,"(1, 0)",3
1257,"((1, 0, 0), (0, -1, 0), (1, 0, 0))",0,"(1, 0)",3
2568,"((0, 1, 1), (0, 0, 0), (-1, 0, 0))",-2,"(0, 0)",3
1247,"((1, 0, 0), (0, -1, 1), (0, 0, 0))",0,"(0, 1)",3
1348,"((1, 0, 0), (1, 0, -1), (0, 0, 0))",0,"(2, 0)",3
2618,"((0, 1, 0), (0, 1, 0), (0, 0, -1))",0,"(2, 1)",3
3351,"((0, 0, 1), (0, 0, 0), (0, -1, 1))",2,"(0, 0)",3
3051,"((0, -1, 1), (0, 1, 0), (0, 0, 0))",2,"(0, 0)",3
1081,"((1, 0, 0), (-1, 0, 0), (1, 0, 0))",0,"(1, 1)",3
3236,"((0, 0, 1), (1, -1, 0), (0, 0, 0))",0,"(0, 0)",3
2459,"((0, 1, 0), (0, -1, 1), (0, 0, 0))",0,"(0, 0)",3
3246,"((0, 0, 1), (0, -1, 1), (0, 0, 0))",0,"(2, 2)",3
940,"((1, 1, 0), (-1, 0, 0), (0, 0, 0))",2,"(0, 2)",3
3256,"((0, 0, 1), (0, -1, 0), (1, 0, 0))",0,"(0, 1)",3
3263,"((0, 0, 1), (0, -1, 0), (0, 1, 0))",0,"(1, 0)",3
2446,"((0, 1, 0), (1, -1, 0), (0, 0, 0))",0,"(0, 0)",3
3289,"((0, 0, 1), (1, 0, -1), (0, 0, 0))",0,"(0, 0)",3
3299,"((0, 0, 1), (0, 1, -1), (0, 0, 0))",2,"(0, 0)",3
3304,"((0, 0, 1), (0, 0, -1), (1, 0, 0))",0,"(1, 1)",3
3308,"((0, 0, 1), (0, 0, -1), (0, 1, 0))",0,"(1, 1)",3
2469,"((0, 1, 0), (0, -1, 0), (1, 0, 0))",0,"(0, 0)",3
3311,"((0, 0, 1), (0, 0, -1), (0, 0, 1))",0,"(1, 1)",3
3321,"((0, 0, 1), (1, 0, 0), (-1, 0, 0))",0,"(1, 1)",3
3328,"((0, 0, 1), (0, 1, 0), (-1, 0, 0))",0,"(0, 0)",3
3332,"((0, 0, 1), (0, 0, 1), (-1, 0, 0))",-2,"(2, 2)",3
3334,"((0, 0, 1), (0, 0, 0), (-1, 1, 0))",0,"(0, 0)",3
861,"((1, 0, -1), (0, 0, 0), (0, 0, 1))",2,"(0, 1)",3
855,"((1, 0, -1), (0, 0, 0), (0, 1, 0))",0,"(2, 2)",3
3336,"((0, 0, 1), (0, 0, 0), (-1, 0, 1))",2,"(0, 0)",3
3342,"((0, 0, 1), (1, 0, 0), (0, -1, 0))",0,"(1, 1)",3
840,"((1, 0, -1), (0, 0, 0), (1, 0, 0))",2,"(0, 1)",3
3345,"((0, 0, 1), (0, 1, 0), (0, -1, 0))",2,"(0, 0)",3
3348,"((0, 0, 1), (0, 0, 1), (0, -1, 0))",-2,"(2, 2)",3
2411,"((0, 1, 1), (0, -1, 0), (0, 0, 0))",0,"(0, 0)",3
2513,"((0, 1, 1), (0, 0, -1), (0, 0, 0))",2,"(0, 0)",3
3201,"((0, 0, 1), (-1, 0, 0), (0, 0, 1))",2,"(0, 0)",3
2476,"((0, 1, 0), (0, -1, 0), (0, 1, 0))",-2,"(0, 0)",3
1430,"((1, 0, 1), (0, 0, 0), (0, -1, 0))",2,"(0, 1)",3
1434,"((1, 0, 0), (1, 0, 0), (0, -1, 0))",-2,"(2, 0)",3
1066,"((1, 0, 0), (-1, 0, 1), (0, 0, 0))",0,"(0, 2)",3
3080,"((0, -1, 1), (0, 0, 1), (0, 0, 0))",2,"(0, 0)",3
1438,"((1, 0, 0), (0, 1, 0), (0, -1, 0))",2,"(0, 1)",3
1441,"((1, 0, 0), (0, 0, 1), (0, -1, 0))",0,"(1, 1)",3
1443,"((1, 0, 0), (0, 0, 0), (1, -1, 0))",2,"(0, 1)",3
3105,"((0, -1, 1), (0, 0, 0), (1, 0, 0))",0,"(1, 1)",3
1444,"((1, 0, 0), (0, 0, 0), (0, -1, 1))",0,"(1, 1)",3
1446,"((1, 1, 0), (0, 0, 0), (0, 0, -1))",-2,"(0, 2)",3
1040,"((1, 0, 0), (-1, 1, 0), (0, 0, 0))",2,"(0, 1)",3
3196,"((0, 0, 1), (-1, 0, 0), (0, 1, 0))",0,"(1, 1)",3
1447,"((1, 0, 1), (0, 0, 0), (0, 0, -1))",2,"(0, 1)",3
3127,"((0, -1, 1), (0, 0, 0), (0, 0, 1))",2,"(0, 0)",3
1448,"((1, 0, 0), (1, 0, 0), (0, 0, -1))",-2,"(2, 0)",3
1449,"((1, 0, 0), (0, 1, 0), (0, 0, -1))",0,"(0, 2)",3
1450,"((1, 0, 0), (0, 0, 1), (0, 0, -1))",0,"(1, 0)",3
1451,"((1, 0, 0), (0, 0, 0), (1, 0, -1))",2,"(0, 1)",3
1452,"((1, 0, 0), (0, 0, 0), (0, 1, -1))",0,"(0, 1)",3
1014,"((1, 0, 1), (-1, 0, 0), (0, 0, 0))",2,"(0, 1)",3
3153,"((0, 0, 1), (-1, 1, 0), (0, 0, 0))",2,"(0, 0)",3
3171,"((0, 0, 1), (-1, 0, 1), (0, 0, 0))",0,"(2, 2)",3
2480,"((0, 1, 0), (0, -1, 0), (0, 0, 1))",0,"(0, 0)",3
3186,"((0, 0, 1), (-1, 0, 0), (1, 0, 0))",0,"(1, 1)",3
3121,"((0, -1, 1), (0, 0, 0), (0, 1, 0))",0,"(2, 0)",3
282,"((1, -1, 0), (1, 0, 0), (0, 0, 0))",2,"(0, 2)",3
2588,"((0, 1, 0), (0, 0, 1), (-1, 0, 0))",-2,"(0, 0)",3
4454,"((0, 0, 0), (-1, 0, 0), (1, 0, 1))",2,"(0, 0)",3
4470,"((0, 0, 0), (0, 0, 0), (1, 1, -1))",-2,"(0, 2)",3
4393,"((0, 0, 0), (0, -1, 1), (0, 0, 1))",0,"(0, 2)",3
4353,"((0, 0, -1), (0, 0, 1), (0, 1, 0))",-2,"(0, 0)",3
4214,"((0, 0, 0), (0, 1, 0), (0, 1, -1))",0,"(0, 1)",3
4325,"((0, -1, 0), (0, 0, 1), (0, 0, 1))",-2,"(0, 2)",3
4396,"((0, 0, 0), (0, 0, 1), (-1, 1, 0))",-2,"(0, 0)",3
1772,"((-1, 1, 0), (1, 0, 0), (0, 0, 0))",0,"(1, 1)",3
4250,"((-1, 0, 0), (0, 0, 1), (1, 0, 0))",0,"(0, 2)",3
4213,"((0, 0, 0), (0, 1, 0), (1, 0, -1))",0,"(0, 2)",3
4428,"((0, -1, 0), (0, 0, 0), (1, 1, 0))",0,"(2, 2)",3
4212,"((0, 0, 0), (0, 1, 1), (0, 0, -1))",0,"(1, 0)",3
4210,"((0, 0, 0), (0, 1, 0), (0, -1, 1))",2,"(0, 0)",3
4209,"((0, 0, 0), (0, 1, 0), (1, -1, 0))",2,"(0, 0)",3
4343,"((0, 0, -1), (0, 0, 1), (1, 0, 0))",0,"(0, 0)",3
4398,"((0, 0, 0), (0, 0, 1), (-1, 0, 1))",2,"(0, 0)",3
1920,"((-1, 1, 0), (0, 0, 1), (0, 0, 0))",-2,"(2, 0)",3
