,Board State,Score,Best Move,Depth
290,"((1, -1, -1), (0, 1, 1), (-1, 1, -1))",2,"(1, 0)",8
291,"((1, -1, -1), (0, 1, 1), (-1, 1, 0))",2,"(1, 0)",7
292,"((1, -1, -1), (0, 1, 1), (-1, 0, 0))",2,"(1, 0)",6
293,"((1, -1, -1), (0, 1, 1), (1, -1, -1))",2,"(1, 0)",8
294,"((1, -1, -1), (0, 1, 1), (1, -1, 0))",2,"(1, 0)",7
295,"((1, -1, -1), (0, 1, 1), (0, -1, 0))",2,"(1, 0)",6
296,"((1, -1, -1), (0, 1, 1), (1, 0, -1))",0,"(1, 0)",7
297,"((1, -1, -1), (0, 1, 1), (0, 1, -1))",0,"(1, 0)",7
298,"((1, -1, -1), (0, 1, 1), (0, 0, -1))",2,"(1, 0)",6
299,"((1, -1, -1), (0, 1, 1), (0, 0, 0))",2,"(1, 0)",5
300,"((1, -1, -1), (-1, 1, -1), (1, 1, 0))",2,"(2, 2)",8
301,"((1, -1, -1), (-1, 1, 0), (1, 1, -1))",0,"(1, 2)",8
302,"((1, -1, -1), (-1, 1, 0), (1, 1, 0))",0,"(2, 2)",7
303,"((1, -1, -1), (-1, 1, 0), (1, 0, 0))",2,"(2, 2)",6
304,"((1, -1, -1), (0, 1, -1), (1, 1, 0))",-2,"(2, 2)",7
305,"((1, -1, -1), (0, 1, -1), (1, 0, 0))",2,"(1, 0)",6
306,"((1, -1, -1), (0, 1, 0), (1, -1, 0))",2,"(1, 0)",6
307,"((1, -1, -1), (0, 1, 0), (1, 1, -1))",-2,"(1, 2)",7
308,"((1, -1, -1), (0, 1, 0), (1, 0, -1))",2,"(1, 0)",6
309,"((1, -1, -1), (0, 1, 0), (1, 0, 0))",2,"(1, 0)",5
310,"((1, -1, -1), (-1, 1, 0), (0, 1, 0))",2,"(2, 2)",6
311,"((1, -1, -1), (0, 1, -1), (0, 1, 0))",2,"(2, 2)",6
312,"((1, -1, -1), (0, 1, 0), (-1, 1, 0))",2,"(1, 0)",6
313,"((1, -1, -1), (0, 1, 0), (0, 1, -1))",0,"(1, 2)",6
314,"((1, -1, -1), (0, 1, 0), (0, 1, 0))",0,"(2, 2)",5
315,"((1, -1, -1), (0, 1, 0), (0, 0, 0))",2,"(1, 0)",4
316,"((1, -1, 0), (-1, 1, 1), (-1, 1, -1))",0,"(0, 2)",8
